model,family,top1_accuracy_pct,top5_accuracy_pct,params_m,madds_m,mflops,pareto,catalog,source_url,snapshot_date
shufflenetv2_x0_5,ShuffleNetV2,67.82,89.93,0.44,10.99,21.98,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
mobilenetv2_x0_5,MobileNetV2,70.88,91.72,0.82,28.08,56.16,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
resnet20,ResNet,68.83,91.01,0.28,40.82,81.64,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
shufflenetv2_x1_0,ShuffleNetV2,72.39,91.46,1.36,45.09,90.18,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
mobilenetv2_x0_75,MobileNetV2,73.61,92.61,1.48,59.43,118.86,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
resnet32,ResNet,70.16,90.89,0.47,69.13,138.26,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
mobilenetv2_x1_0,MobileNetV2,74.2,92.82,2.35,88.09,176.18,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
shufflenetv2_x1_5,ShuffleNetV2,73.91,92.13,2.58,94.35,188.7,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
resnet44,ResNet,71.63,91.58,0.67,97.44,194.88,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
resnet56,ResNet,72.63,91.94,0.86,125.75,251.5,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
vgg11_bn,VGG,70.78,88.87,9.8,153.34,306.68,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
mobilenetv2_x1_4,MobileNetV2,75.98,93.44,4.5,170.23,340.46,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
shufflenetv2_x2_0,ShuffleNetV2,75.35,92.62,5.55,188.0,376.0,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
vgg13_bn,VGG,74.63,91.09,9.99,228.84,457.68,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
vgg16_bn,VGG,74.0,90.56,15.3,313.77,627.54,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
vgg19_bn,VGG,73.87,90.13,20.61,398.71,797.42,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
repvgg_a0,RepVGG,75.22,92.93,7.96,489.19,978.38,False,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
repvgg_a1,RepVGG,76.12,92.71,12.94,851.44,1702.88,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
repvgg_a2,RepVGG,77.18,93.51,26.94,1850.22,3700.44,True,chenyaofo/pytorch-cifar-models,https://github.com/chenyaofo/pytorch-cifar-models#cifar-100,2026-09-06
